text,label,notes
"Remembering a Jazz Legend today. He is one of my favourite artists, with bass clarinet and flute solos like human voices. His alto sax work is great too! Apart from his legendary albums like ""Out to Lunch"", live recordings with John Coltrane - Village Vanguard, Village Gate, Europe, etc. - are timeless too. He also did some great recordings with Ornette Coleman (Free Jazz), Charles Mingus (e.g. Antibes, Cornell, Europe). When Dolphy moved on, it probably influenced Coltrane's move to a quintet with Pharoah Sanders on board years later. Anyway, what are your favourites? Let's enjoy him today and always :)",appreciation,"Contains a question, but main purpose is first-person appreciation."
"An absolutely formative experience for me. It was exactly what I was looking for back then. Still have VHS copies I made of it. Sun Ra's appearance is my favorite to this day. Probably among the most uncommercial shows in American commercial TV history, and God bless it for that. The wikipedia listing is excellent: Sunday Night, later named Michelob Presents Night Music, is a late-night television show which aired for two seasons between 1988 and 1990 as a showcase for jazz and eclectic musical artists.[4] It was hosted by David Sanborn. Jools Holland served as Sanborn's co-host for the first season; Sanborn hosted solo for the second. The show also featured a house band of Omar Hakim (drums), Marcus Miller (bass), Philippe Saisse (keyboards), David Sanborn (saxophone), Hiram Bullock (guitar), and Jools Holland (piano). Hal Willner was the music coordinator. And yeah, that studio band was outstanding. Tons of complete videos on youtube for it for those who haven't seen it.",appreciation,"Includes factual context, but main purpose is personal reaction."
"I finally ""got"" Wayne Shorter's Speak No Evil last night after bouncing off it for years. The title track used to feel too shadowy to me, but now those horns sound like a whole city at 1am. Hubbard and Shorter together are just unreal. No big point here, just had one of those jazz moments where an album unlocks.",appreciation,
"Been on a Bill Evans at the Village Vanguard kick all week and it still floors me how conversational that trio sounds. LaFaro isn't just walking, he is practically writing little counter-melodies under every phrase. It feels fragile and completely alive at the same time.",appreciation,
"I don't know what clicked, but Alice Coltrane's Journey in Satchidananda went from ""interesting"" to deeply moving for me. The tambura, the harp, the bass line, Pharoah floating over it all... it feels like the room gets bigger every time I play it.",appreciation,
"Cannonball Adderley on Somethin' Else is the sound of pure good taste to me. He can be bluesy, playful, elegant, and absolutely burning without ever sounding like he is showing off. That record always improves my mood.",appreciation,
"I put on Kenny Burrell's Midnight Blue after a brutal work day and it did exactly what I needed. Warm guitar tone, congas sitting just right, Stanley Turrentine sounding like a streetlight in the rain. I swear that album lowers my blood pressure.",appreciation,
"The way Ahmad Jamal leaves space is still magic. Sometimes I hear younger pianists fill every inch of the bar, then I put on At the Pershing and remember how heavy a pause can be. That trio had such ridiculous balance.",appreciation,
"I was walking home in the rain listening to Coltrane's Crescent and the whole thing just hit me sideways. It is not as famous as A Love Supreme, but the emotional weight on that record is enormous. ""Wise One"" especially feels like somebody praying quietly.",appreciation,
"Lee Morgan's trumpet tone makes me grin like an idiot. Even when the tune is serious, there is this flash of personality in every entrance. The Sidewinder is fun, sure, but Search for the New Land is the one that really stays with me.",appreciation,
"Sarah Vaughan's voice on the ballads is almost unfair. She can make one note feel like it has three rooms inside it. I came to her late because I was mostly an instrumental jazz person, and now I feel like I missed a whole planet.",appreciation,
"Grant Green has become my comfort guitarist. Nothing too fussy, no wasted motion, just those clean lines that sit perfectly in the pocket. When I don't know what to play, I put on Idle Moments or Matador and everything settles down.",appreciation,
"Eric Dolphy's bass clarinet still sounds like it came from the future. I love that he can be angular and funny and heartbreaking in the same solo. Out to Lunch scared me the first time, but now it feels weirdly welcoming.",appreciation,
"Not a hot take, but Kind of Blue earns its reputation every single time. I tried to be contrarian about it when I was younger, and now I just admit that ""Flamenco Sketches"" is one of the most beautiful things humans have recorded.",appreciation,"Includes factual context, but main purpose is personal reaction."
"I keep returning to Paul Desmond when I want melody without drama. His tone is so dry and calm, but never boring. There is something about those lines over Jim Hall's guitar that feels like a very smart friend telling a quiet joke.",appreciation,
"Saw a local piano trio in a tiny bar last night and it reminded me why this music works best up close. No famous names, no fancy stage, just three people listening hard to each other. The drummer caught every little rhythmic nudge. Beautiful stuff.",appreciation,
"Mingus's ""Goodbye Pork Pie Hat"" hits me differently every year. When I first heard it, I just thought it was pretty. Now it feels like grief, dignity, anger, and tenderness all braided together. What a composer.",appreciation,
I used to think big band was background music because I only knew the obvious swing-era stuff. Then I heard Ellington at Newport and some Thad Jones/Mel Lewis charts and realized how much color and tension can live in a large ensemble.,appreciation,
"McCoy Tyner's left hand might be my favorite force of nature in jazz. Those quartal voicings feel like doors opening. Even when the tempo is flying, there is this grounded, almost architectural thing happening.",appreciation,
Art Blakey records make chores impossible because I always end up air-drumming instead of doing anything useful. That press roll into a horn shout feels like caffeine. The Jazz Messengers are basically instant momentum.,appreciation,
"Chet Baker's vocal records have that fragile, almost-too-close quality that I understand is not for everyone, but they really get to me. He sounds less like he is performing a song and more like he is barely admitting it.",appreciation,
"I cannot stop thinking about Mary Lou Williams's piano playing. There is so much history in it, but it never feels museum-like. She can sound stride, modern, churchy, and completely her own within a few bars.",appreciation,
"Sonny Rollins on Saxophone Colossus feels like someone thinking out loud at superhuman speed. ""Blue 7"" especially has that quality where every idea answers the one before it. I love how logical and playful he is at once.",appreciation,
"Dexter Gordon's tone makes every phrase feel like it is leaning back in a chair. I know that is a cliche, but there is no better way to describe it. Go is such a relaxed masterpiece.",appreciation,
"Nina Simone doing ""I Loves You Porgy"" completely stops time for me. She has this way of making the piano part and the vocal part feel like two sides of the same ache. I never put it on casually.",appreciation,
"Horace Silver always makes me feel like the sun came out. The tunes are catchy, but not simple. That mix of blues, church, Latin rhythm, and hard bop snap is just ridiculously satisfying.",appreciation,
"Had one of those late-night moments with In a Silent Way where I forgot I was listening to ""fusion"" and just floated. The editing, the electric piano wash, Miles barely saying anything but saying exactly enough. What a mood.",appreciation,
"The first time I heard Clifford Brown, I honestly got a little annoyed because nobody should sound that clean and that warm at the same time. Every solo feels generous. There is no cynicism in his playing.",appreciation,
"There is something about Geri Allen's touch that gets under my skin. She can be percussive without getting hard, lyrical without getting soft. I wish I had discovered her much earlier.",appreciation,
"I know some folks find Keith Jarrett's vocalizing distracting, and fair enough, but when the trio is locked in I barely notice it. Standards Vol. 1 has such insane listening between the players. It feels like a living organism.",appreciation,
"Charlie Parker still sounds shocking to me. Not ""important historical figure"" shocking, but actually shocking. Those lines just keep turning corners faster than my brain can follow, and somehow they still sing.",appreciation,
"I put on ""Idle Moments"" for background music and immediately failed at having it in the background. That title track is so patient. Every solo has room to breathe, and the groove feels like it could go on forever.",appreciation,
"A Love Supreme has become less of an album and more of a place I visit. I don't play it constantly, but when I do, it resets something in me. Elvin's cymbals alone are worth sitting still for.",appreciation,
"Spent the morning with Ella and Louis and honestly it is hard to be in a bad mood afterward. The contrast between those voices is perfect. She is all silk and precision, he is gravel and sunshine, and somehow it becomes one thing.",appreciation,
"Pharoah Sanders's tone on Karma feels like a cry and a celebration at the same time. I get why it can be too much for some people, but for me it is the opposite of chaos. It feels honest.",appreciation,
Oscar Peterson's swing is almost suspicious. He makes impossible runs feel like he just thought of them while smiling at somebody across the room. Night Train is one of my go-to records when I need elegance with muscle.,appreciation,
